,precision,recall,f1-score,support
IT-проблемы,0.9985185185185185,0.9985185185185185,0.9985185185185185,675.0
Библиотека,0.9970457902511078,1.0,0.9985207100591716,675.0
Документы,0.9911764705882353,0.9985185185185185,0.9948339483394834,675.0
Иностранные студенты,1.0,0.9911111111111112,0.9955357142857143,675.0
Преподаватели,1.0,1.0,1.0,675.0
Расписание,1.0,1.0,1.0,675.0
Регистрация,0.9985185185185185,0.9985185185185185,0.9985185185185185,675.0
Финансы,1.0,0.9985185185185185,0.9992587101556709,675.0
Экзамены,1.0,1.0,1.0,675.0
accuracy,0.9983539094650206,0.9983539094650206,0.9983539094650206,0.9983539094650206
macro avg,0.9983621442084867,0.9983539094650207,0.9983540133196753,6075.0
weighted avg,0.9983621442084867,0.9983539094650206,0.9983540133196753,6075.0
